11;10
0;0;1375350016.000000;858599936.000000
0;1;-775950016.000000;-684600000.000000
0;2;1113149952.000000;1307399936.000000
0;3;-1223699968.000000;-1456800000.000000
0;4;1111500032.000000;-546150016.000000
0;5;-931800000.000000;1219049984.000000
0;6;1171049984.000000;-1136849920.000000
0;7;942299904.000000;368249984.000000
0;8;-853049984.000000;1433700096.000000
0;9;-1175849984.000000;-669750016.000000
1;0;3569996544.000000;-91627264.000000
1;1;-2591645952.000000;-181233600.000000
1;2;-1403163648.000000;1924814336.000000
1;3;-623392768.000000;-3262128128.000000
1;4;3382610432.000000;-2709173760.000000
1;5;-3005659136.000000;415529984.000000
1;6;-454652416.000000;131415680.000000
1;7;-795117696.000000;1950665984.000000
1;8;-643616384.000000;-683445504.000000
1;9;-2693725184.000000;-1413913216.000000
2;0;5761547264.000000;-1043077568.000000
2;1;-4416664576.000000;320702560.000000
2;2;-3920377600.000000;2539712256.000000
2;3;-21217728.000000;-5062855168.000000
2;4;5652807680.000000;-4875456000.000000
2;5;-5060929536.000000;-340410432.000000
2;6;-2082348800.000000;1407901312.000000
2;7;-2532944896.000000;3530609664.000000
2;8;-435002176.000000;-2805599488.000000
2;9;-4201490176.000000;-2161452032.000000
3;0;7952648192.000000;-1994972160.000000
3;1;-6240373248.000000;821707840.000000
3;2;-6435741696.000000;3153606400.000000
3;3;580911360.000000;-6862762496.000000
3;4;7922617856.000000;-7041573888.000000
3;5;-7114947072.000000;-1097254272.000000
3;6;-3711224320.000000;2682566144.000000
3;7;-4272125952.000000;5109360640.000000
3;8;-227073376.000000;-4927107072.000000
3;9;-5708133888.000000;-2907787264.000000
4;0;10143582208.000000;-2947076608.000000
4;1;-8063638016.000000;1322710272.000000
4;2;-8950653952.000000;3767024128.000000
4;3;1182951936.000000;-8662049792.000000
4;4;10192269312.000000;-9207631872.000000
4;5;-9168233472.000000;-1854080512.000000
4;6;-5340349952.000000;3957020416.000000
4;7;-6011398656.000000;6687473664.000000
4;8;-19186896.000000;-7048922112.000000
4;9;-7214440960.000000;-3653890048.000000
5;0;12334432256.000000;-3899304448.000000
5;1;-9886688256.000000;1823808768.000000
5;2;-11465256960.000000;4380115456.000000
5;3;1784832256.000000;-10461124608.000000
5;4;12461828096.000000;-11373662208.000000
5;5;-11221160960.000000;-2610950912.000000
5;6;-6969645056.000000;5231377408.000000
5;7;-7750667264.000000;8265195008.000000
5;8;188807312.000000;-9170746368.000000
5;9;-8720640000.000000;-4399865856.000000
6;0;14525229056.000000;-4851612672.000000
6;1;-11709637632.000000;2325006848.000000
6;2;-13979621376.000000;4992992768.000000
6;3;2386595328.000000;-12260080640.000000
6;4;14731327488.000000;-13539674112.000000
6;5;-13273847808.000000;-3367867648.000000
6;6;-8599048192.000000;6505679872.000000
6;7;-9489914880.000000;9842641920.000000
6;8;396887296.000000;-11292572672.000000
6;9;-10226794496.000000;-5145767936.000000
7;0;16715988992.000000;-5803980800.000000
7;1;-13532542976.000000;2826259968.000000
7;2;-16493799424.000000;5605726208.000000
7;3;2987862528.000000;-14058614784.000000
7;4;17000781824.000000;-15705673728.000000
7;5;-15326361600.000000;-4124815104.000000
7;6;-10228530176.000000;7779948544.000000
7;7;-11229139968.000000;11419881472.000000
7;8;605394752.000000;-13414730752.000000
7;9;-11732933632.000000;-5891618304.000000
8;0;18906722304.000000;-6756392960.000000
8;1;-15355423744.000000;3327555840.000000
8;2;-19007832064.000000;6218368000.000000
8;3;3588634624.000000;-15856896000.000000
8;4;19270201344.000000;-17871665152.000000
8;5;-17378742272.000000;-4881782272.000000
8;6;-11858067456.000000;9054195712.000000
8;7;-12968343552.000000;12996958208.000000
8;8;814330240.000000;-15537085440.000000
8;9;-13239065600.000000;-6637432832.000000
9;0;21097435136.000000;-7708839424.000000
9;1;-17178290176.000000;3828883968.000000
9;2;-21521750016.000000;6830949888.000000
9;3;4188979200.000000;-17655054336.000000
9;4;21539596288.000000;-20037648384.000000
9;5;-19431020544.000000;-5638761472.000000
9;6;-13487644672.000000;10328428544.000000
9;7;-14707526656.000000;14573901824.000000
9;8;1023635968.000000;-17659531264.000000
9;9;-14745193472.000000;-7383221760.000000
10;0;23288131584.000000;-8661313536.000000
10;1;-19001147392.000000;4330237440.000000
10;2;-24035579904.000000;7443491328.000000
10;3;4788980224.000000;-19453167616.000000
10;4;23808970752.000000;-22203627520.000000
10;5;-21483216896.000000;-6395747840.000000
10;6;-15117253632.000000;11602653184.000000
10;7;-16446691328.000000;16150735872.000000
10;8;1233239680.000000;-19782004736.000000
10;9;-16251319296.000000;-8128991744.000000
